Company,Email,Industry,Employees,Revenue ($M),Score
TechNova,contact@technova.com,Agriculture,22,74.41,65
AgroLink,contact@agrolink.com,Finance,81,73.91,93
AlphaTech,contact@alphatech.com,Agriculture,312,42.77,51
GreenFarms,contact@greenfarms.com,Agriculture,121,24.03,88
CloudNet,contact@cloudnet.com,Software,297,20.68,91
RetailNova,contact@retailnova.com,Healthcare,122,45.47,67
FinEdge,contact@finedge.com,Software,398,80.78,94
AutoMakers,contact@automakers.com,Healthcare,184,28.51,63
EduSmart,contact@edusmart.com,Education,62,10.18,56
MedCare,contact@medcare.com,Education,443,35.05,66
DataWave,contact@datawave.com,Software,383,46.48,57
SkillBridge,contact@skillbridge.com,Healthcare,50,55.65,90
NeoRetail,contact@neoretail.com,Education,305,20.04,54
FarmEdge,contact@farmedge.com,Software,348,23.56,68
MediBot,contact@medibot.com,Agriculture,447,24.05,56
BrightEnergy,contact@brightenergy.com,Healthcare,152,45.89,73
AeroTech,contact@aerotech.com,Retail,199,36.17,92
PrintMax,contact@printmax.com,Automobile,369,93.73,91
CloudNova,contact@cloudnova.com,Agriculture,321,63.86,84
AIConsults,contact@aiconsults.com,Finance,93,46.76,67
SmartLogix,contact@smartlogix.com,Finance,360,33.1,99
EcoHomes,contact@ecohomes.com,Software,127,82.36,70
AutoDrive,contact@autodrive.com,Healthcare,147,7.55,86
FinAssist,contact@finassist.com,Education,118,65.89,75
PureWater,contact@purewater.com,Energy,83,27.22,65
MegaBuild,contact@megabuild.com,Automobile,392,58.87,87
SafeBank,contact@safebank.com,Healthcare,195,22.71,58
TechVerse,contact@techverse.com,Energy,56,75.82,57
GreenFuel,contact@greenfuel.com,Retail,331,16.84,93
PaperWorks,contact@paperworks.com,Healthcare,315,7.29,74
NextGenSoft,contact@nextgensoft.com,Energy,280,25.89,85
AgriBotics,contact@agribotics.com,Software,358,72.35,93
EduPrime,contact@eduprime.com,Automobile,403,64.46,57
HealthPlus,contact@healthplus.com,Automobile,232,16.66,50
RetailEdge,contact@retailedge.com,Automobile,266,76.43,82
FinTechPro,contact@fintechpro.com,Agriculture,455,62.9,90
AutoNext,contact@autonext.com,Finance,88,38.02,60
CloudSphere,contact@cloudsphere.com,Software,316,33.09,51
AIWorks,contact@aiworks.com,Agriculture,485,36.94,69
SolarMax,contact@solarmax.com,Finance,39,24.85,86
BioMedix,contact@biomedix.com,Agriculture,53,73.46,54
LearnHub,contact@learnhub.com,Retail,75,66.32,85
DataNexus,contact@datanexus.com,Retail,145,53.24,88
FarmWise,contact@farmwise.com,Healthcare,118,92.96,98
SmartPrint,contact@smartprint.com,Finance,375,31.86,92
EnergyFlow,contact@energyflow.com,Education,234,90.06,78
TechBridge,contact@techbridge.com,Agriculture,136,23.25,71
AutoSmart,contact@autosmart.com,Software,311,55.84,87
FinVision,contact@finvision.com,Finance,13,8.03,90
MedNova,contact@mednova.com,Software,127,7.67,52
